2025-02-27 16:03:00,448 - INFO - Ответ 33: 200 {"status":true,"response":{"time":1740661380}}
2025-02-27 16:03:00,728 - INFO - Запрос 34: {'lead_id': '31360187'}
2025-02-27 16:03:00,728 - INFO - Ответ 34: 200 {"status":true,"response":{"time":1740661380}}
2025-02-27 16:03:01,082 - INFO - Запрос 35: {'lead_id': '31360177'}
2025-02-27 16:03:01,082 - INFO - Ответ 35: 200 {"status":true,"response":{"time":1740661381}}
2025-02-27 16:03:01,366 - INFO - Запрос 36: {'lead_id': '31360085'}
2025-02-27 16:03:01,366 - INFO - Ответ 36: 200 {"status":true,"response":{"time":1740661381}}
2025-02-27 16:03:02,641 - INFO - Запрос 37: {'lead_id': '31360083'}
2025-02-27 16:03:02,641 - INFO - Ответ 37: 200 {"status":true,"response":{"time":1740661382}}
2025-02-27 16:03:02,907 - INFO - Запрос 38: {'lead_id': '31359519'}
2025-02-27 16:03:02,907 - INFO - Ответ 38: 200 {"status":true,"response":{"time":1740661382}}
2025-02-27 16:03:03,173 - INFO - Запрос 39: {'lead_id': '31359501'}
2025-02-27 16:03:03,173 - INFO - Ответ 39: 200 {"status":true,"response":{"time":1740661383}}
2025-02-27 16:03:03,439 - INFO - Запрос 40: {'lead_id': '31359495'}
2025-02-27 16:03:03,439 - INFO - Ответ 40: 200 {"status":true,"response":{"time":1740661383}}
2025-02-27 16:03:03,697 - INFO - Запрос 41: {'lead_id': '31359473'}
2025-02-27 16:03:03,697 - INFO - Ответ 41: 200 {"status":true,"response":{"time":1740661383}}
2025-02-27 16:03:03,965 - INFO - Запрос 42: {'lead_id': '31359457'}
2025-02-27 16:03:03,965 - INFO - Ответ 42: 200 {"status":true,"response":{"time":1740661383}}
2025-02-27 16:03:04,240 - INFO - Запрос 43: {'lead_id': '31359455'}
2025-02-27 16:03:04,240 - INFO - Ответ 43: 200 {"status":true,"response":{"time":1740661384}}
2025-02-27 16:03:04,508 - INFO - Запрос 44: {'lead_id': '31359441'}
2025-02-27 16:03:04,509 - INFO - Ответ 44: 200 {"status":true,"response":{"time":1740661384}}
2025-02-27 16:03:04,795 - INFO - Запрос 45: {'lead_id': '31359429'}
2025-02-27 16:03:04,795 - INFO - Ответ 45: 200 {"status":true,"response":{"time":1740661384}}
2025-02-27 16:03:05,063 - INFO - Запрос 46: {'lead_id': '31359427'}
2025-02-27 16:03:05,063 - INFO - Ответ 46: 200 {"status":true,"response":{"time":1740661385}}
2025-02-27 16:03:05,332 - INFO - Запрос 47: {'lead_id': '31359425'}
2025-02-27 16:03:05,332 - INFO - Ответ 47: 200 {"status":true,"response":{"time":1740661385}}
2025-02-27 16:03:06,115 - INFO - Запрос 48: {'lead_id': '31359337'}
2025-02-27 16:03:06,115 - INFO - Ответ 48: 200 {"status":true,"response":{"time":1740661386}}
2025-02-27 16:03:06,383 - INFO - Запрос 49: {'lead_id': '31359213'}
2025-02-27 16:03:06,383 - INFO - Ответ 49: 200 {"status":true,"response":{"time":1740661386}}
2025-02-27 16:03:06,642 - INFO - Запрос 50: {'lead_id': '31359175'}
2025-02-27 16:03:06,642 - INFO - Ответ 50: 200 {"status":true,"response":{"time":1740661386}}
2025-02-27 16:03:06,916 - INFO - Запрос 51: {'lead_id': '31359077'}
2025-02-27 16:03:06,917 - INFO - Ответ 51: 200 {"status":true,"response":{"time":1740661386}}
2025-02-27 16:03:07,189 - INFO - Запрос 52: {'lead_id': '31358667'}
2025-02-27 16:03:07,189 - INFO - Ответ 52: 200 {"status":true,"response":{"time":1740661387}}
2025-02-27 16:03:07,454 - INFO - Запрос 53: {'lead_id': '31358549'}
2025-02-27 16:03:07,454 - INFO - Ответ 53: 200 {"status":true,"response":{"time":1740661387}}
2025-02-27 16:03:07,723 - INFO - Запрос 54: {'lead_id': '31358547'}
2025-02-27 16:03:07,723 - INFO - Ответ 54: 200 {"status":true,"response":{"time":1740661387}}
2025-02-27 16:03:07,996 - INFO - Запрос 55: {'lead_id': '31358543'}
2025-02-27 16:03:07,996 - INFO - Ответ 55: 200 {"status":true,"response":{"time":1740661387}}
2025-02-27 16:03:08,263 - INFO - Запрос 56: {'lead_id': '31357757'}
2025-02-27 16:03:08,263 - INFO - Ответ 56: 200 {"status":true,"response":{"time":1740661388}}
2025-02-27 16:03:08,525 - INFO - Запрос 57: {'lead_id': '31357745'}
2025-02-27 16:03:08,525 - INFO - Ответ 57: 200 {"status":true,"response":{"time":1740661388}}
2025-02-27 16:03:09,011 - INFO - Запрос 58: {'lead_id': '31357743'}
2025-02-27 16:03:09,011 - INFO - Ответ 58: 200 {"status":true,"response":{"time":1740661388}}
2025-02-27 16:03:09,280 - INFO - Запрос 59: {'lead_id': '31357705'}
2025-02-27 16:03:09,280 - INFO - Ответ 59: 200 {"status":true,"response":{"time":1740661389}}
2025-02-27 16:03:09,545 - INFO - Запрос 60: {'lead_id': '31357629'}
2025-02-27 16:03:09,545 - INFO - Ответ 60: 200 {"status":true,"response":{"time":1740661389}}
